question,choice1,choice2,choice3,choice4,choice5,answer,difficulty,topic,free,registered
"Tom wishes to sell his house quickly and drops the price from $475,000 to $450,000. A buyer puts in an offer at $460,000. Which of the following is true?",Offer and acceptance has occurred,Seller has not accepted,The buyer's offer is invalid,The seller's price drop is invalid,The broker is owed commission,2,3,Contracts,,
Article 12A of the NY State Real Property Law is known as,Building zoning regulation,Salesperson regulation,Real estate license law,Broker conduct code,Real estate ethics,3,2,License Law,,
Which of the following is NOT associated with violations of Article 12A?,$1000 fine,1 year in jail,Misdmeanor charge,Loss of real estate license,Felony charge,5,2,License Law,,
New York Real Estate License law is Article,12A,12,13,A12,Regulation 175.7,1,1,License Law,,
"If a broker's license is suspended, the licenses of their salespersons is",Revoked,Also suspended,Upgraded to a broker,Transferred to another brokerage,Unaffected,2,2,License Law,,
Bradley is a broker and just had his license suspended. Erica and Wayne work as salesperson for Bradley. Their licenses are now,Upgraded to a broker's license,Suspended,Invalid,Have a cloud over them,Paused for 30 days,2,2,License Law,,
Indira's broker license was revoked. How long does she need to wait to reinstate it?,"At minimum a year, and it's not guaranteed to be re-issued",Depends on the judge,Indira needs to attend a hearing that will determine when,6 months,Once all salespersons are paid their commissions owed,1,2,License Law,,
"In the context of Article 12A, a licensee is a",Broker or salesperson,Broker,Salesperson,Property manager,Landlord,1,2,License Law,1,1
 salesperson can only represent a buyer or seller by first associating with a broker,"False, a salesperson is an independent contractor","True, a salesperson must work with a licensed broker","True, as long as the broker's license was never suspended","False, Article 12A allows for exceptions for salesperons to operate independently","False, a salesperson and broker differ only in experience",2,2,Law of Agency,,1
What are PCBs in the context of real estate?,Poly-chlorinated Biphenyls,Property Control Board,Poly-chlorine Bitrate,Professional Commercial Board,Pre-closing Buyer,1,2,Environmental Issues,,
A liquid used to cool power plans is called,PCs,PCDs,PCBs,PBCs,PDC,3,2,Environmental Issues,,
A liquid used to cool power plans is called,Poly-chlorinated Biphenyls,Sealants,Hyrogen Peroxide,Chlorine,Betadine,1,2,Environmental Issues,,
The acronym for Poly-chlorinated Biphenyls is,PC,PCB,PB,P.B,PolyC,2,2,Environmental Issues,,
Who is required to fill out the Property Condition Disclosure Statement?,Buyer's agent,Attorney,Seller's agent,Seller,Buyer,4,2,Law of Agency,,
Who is required to fill out the Property Condition Disclosure Statement?,Seller,Buyer and Seller,Broker,Brokerage,Tile company,1,2,Law of Agency,,1
"If the seller does not provide the a Property Condition Disclosure document, how much is the buyer entitled to?",$75 ,$100 ,$500 ,$97.25 ,Nothing,3,2,Closings,,
Beth is selling her townhouse and chooses not to complete the Property Condition Disclosure Statement. How much doe she owe the buyer?,$500 ,$800 ,$250 ,$300 ,$0 ,1,2,Closings,,1
Kim is buying a home and the seller declines to produce a Property Condition Disclosure. How much money is Kim entitled to at closing?,$500 ,$400 ,$92.22 ,$78.75 ,1% of the deposit,1,2,Closings,,
Property Condition Disclosures are NOT required in which of the following,Commercial sales,Residential sales,Sale of a two-families,Waterfront properties,One family duplexes,1,2,Closings,,
Capital gains are defined as,Excess profits from the sale of only condos,Taxable profits from a sale of an asset,Progress in Washington DC,Cash left over from a liquidation,Inheritance money from a death,2,2,Income Tax,,
"For a single, unmarried person, how much of profit is initially tax-free on the sale of an asset?","$50,000 ","$205,000 ","$250,000 ","$25,000 ","$249,999 ",3,2,Income Tax,,
"John buys a home in 2008 for $320,000. Three years later he sells it for $580,000. What is his taxable capital gains?",$570K,$100K,$470K,$820K,$470K,5,2,Income Tax,1,
"Grigorio does quick flips and buys a home for $120,000 only to sell it a week later for $140,000. What is his taxable capital gains?","$140,000 ",$0 ,"$65,000 ","$20,000 ","$120,000 ",4,3,Income Tax,,
How much profit is tax-exempt on a sale of home owned by a married couple?,"$250,000 ","$500,000 ","$84,572 ",Depends on price,"$20,000 ",2,1,Income Tax,,
"George and Georgina have been married for the past 10 years and own a Manhattan studio for 3 years. If they decide to sell it, UP TO how much profit is tax-free?",$0 ,Depends on purchase and sale price,"$500,000 ","$200,000 ","$750,000 ",3,1,Income Tax,,1
Frank and Aleena married last week and decided to sell Frank's Upper East Side co-op to fund a world trip. How much profit is tax-free?,Cannot be determined from the given information,"$250,000 ","$500,000 ","$200,000 ","$750,000 ",1,3,Income Tax,,1
"You plan on purchasing a property for $100,000. How many years do you need to hold it before your first $250k in profits are tax-exempt?",2,5,3,Indefinite,7,1,2,Income Tax,,
A blind advertisement on a property for sale,Has insufficient or vague information,Is printed without thought,Details the exact location of the property,States precisely the name of the agent,None of these,1,3,Law of Agency,,
"Moe places an ad in the classified sections of the Times and states only the following '3 Bedroom, $3900, UES'. This is known as a",Quickie ad,Blind ad,Bumper ad,Bait and switch tactic,Bronzing,2,2,Law of Agency,,
"Catherine takes an ad out in the Times and states a rental unit, address and her name and that she's an agent. This is not a blind ad because",It's in the Times,Catherine paid for it,The font size was large,Relevant and pertinent details were provided,It ran on Sunday so that more people could see it,4,2,Law of Agency,,
Do foreclosure sales require a Property Condition Disclosure Statement?,"Yes, it is still a sale","No, the law makes an exception for foreclosures","Yes, the courts will require it","No, it is a commercial sale","Yes, all sales do",2,3,Law of Agency,,
"If owning is called freehold, then leasing is called",Freelease,Freeleasing,Rent to buy,Leasehold,Leasing,2,2,Estates and Interests,,
"If leasing is called leasehold, then owning is",Ownhold,Freehold,Freeown,Owning,Holdown,2,3,Estates and Interests,,
The most common form of freehold bundle of rights is,Simple and freehold,Simply free,Freehold,Free and simple,Fee simple,5,3,Estates and Interests,,
Having all the rights of ownership is referred to as,Fee simple absolute,Seizin,Carpe diem,Absolute free,No fee,1,2,Estates and Interests,,
The most common form of freehold is,Coops,Bargain and sale,Lesser estates,Fee simple,Commercial,2,3,Estates and Interests,1,1
Which of the following is NOT a right of ownership?,Disposition,Control,Exclusion,Renovation,Quiet enjoyment,4,3,Estates and Interests,,
Which right of ownership gives the owner the ability to renovate?,Control,Poessession,Disposition,Redaction,Modification,1,3,Estates and Interests,,
Which right of ownership gives the owner access to the property?,Induction,Possession,Enjoyment,Disposition,Control,2,2,Estates and Interests,,
Quit enjoyment entitles to the owner to an environment with the following EXCEPT,Nuisance,Noise,Danger,Air pollution,Loud neighbors,4,3,Estates and Interests,,
"The following right best allows an owner to disallow public access, if s/he so chooses",Barrier and Moats Act,Privacy rights,Easement,Egress,Exclusion,5,3,Estates and Interests,,
"A deed, in the context of real estate, is",Created by the bank,An owner,An act,Proof of title,Title insurance,4,3,Deeds,,
Which of the following is a document that demonstrates ownership of property,Lease,Deed,Stock certificates,Notarization,Mortgage note,2,1,Deeds,,1
The difference between a deed and title is,Deed is the paper demonstrating ownership; Title is the right of ownership,Deed is the concept of ownership; Title is the paper demonstrating ownership,Deed is the concept of ownership; Title is insurance that protects the deed,Deed is the paper demonstrating ownership; Title is the paper demonstrating ownership,Deed and title mean exactly the same thing,1,3,Deeds,,1
"If a deed document is lost, is the title also lost?","Yes, the deed proves ownership","No, deed proves title","Yes, the deed proves title","No, the deed proves owner","Yes, unless there is insurance",2,3,Deeds,,
"A title, in the context of real estate, is BEST described as",The bundle of rights representing ownership,The same as a deed,The concept of ownership,Transfer of ownership in a sale,The subject heading of a deed document,1,3,Deeds,,
The conveyance of title means that,Title is transferred via a deed,Seller is made aware of title costs,Buyer is made aware of title costs,Deed is transferred via a title,Offer and acceptance have not occurred,1,2,Deeds,,
"In the context of real estate, what is flashing?",Security panel fixes,Front porch lighting system,Flood prevention,A material used to cover cracks,Closing on a sale in under an hour,4,2,Construction,,
A material used to cover physical cracks is called,Flashing,Drywall,Beam,Joist,Compound,1,2,Construction,,
"To become a broker, you have to take these many hous of classes in total",120,75,45,150,20,1,1,License Law,1,1
You need a total of these many hours to be a broker,50,120,45,55,175,2,1,License Law,,
"John is 18. What is earliest age he can be a broker, assuming he is a salesperson now?",23,22,21,18,20,5,1,License Law,,
How many class hours is the real estate salesperson requirement?,40,120,45,75,100,4,1,License Law,,
Alicia is 20 years old and a broker. She got her salesperson license at what age?,17,18,19,16,20,2,2,License Law,,
An aluminum material used to cover cracks and waterproofing roofs is called,Spackle,Flashing,Vent box,Pivots,Screen,2,1,Construction,,
Do two parties in a joint tenancy have right of survivorship if one dies?,Yes,"No, if one dies the other loses the property","No, the deceased party's heirs own it now",The courts decide,It is based on financial need,1,2,Estates and Interests,,
Do two parties in a joint tenancy have right of survivorship if NEITHER dies?,Yes,"No, not until one dies","No, the deceased party's heirs own it now",The courts decide,It is based on financial need,1,2,Estates and Interests,,
Margaret and Thompson are married and since bought a townhouse in the Upper East Side. This ownership is known as,Ownership by entirety,For better or worse tenancy,Tenants in common,Joint severalty,Joint seizin,1,2,Estates and Interests,,
"In owning property, survivorship right assures",A property rebounds from foreclosure,"If one owner dies, the remaining owners inherit",All the financials in a closing matchup,a joint tenancy occurs,Husband and wife purchase a property,1,2,Estates and Interests,,
Maria and Victor married last year and together bought a property last week. The ownership is,Joint tenants,Ownership by entirety,Joint severalty,Tenants in common,Bargain and sale,2,2,Estates and Interests,,
Real estate license law is written in,Federal code,Article 12A Real Property Law,Association of brokers bylaws,Article 12 Real Estate Law,Article A12 Real Property Law,2,2,License Law,,
Violation of Article 12A by a broker could result in,Misdemeanor,Felony,Assault,Wire fraud,Misrepresentation,1,1,License Law,1,1
"John, a seller, accidentally shreds is Property Condition Disclosure form. At the closing, how much is he liable to pay the buyer?",$300 ,$450 ,$500 ,$120 ,$0 ,3,1,Law of Agency,,
Which of the following primarily shows up in water and soil?,Helium,Bedbugs,Sewage,Radon,None of these,4,2,Environmental Issues,,
All of these are examples of information an ad by an against legally should contain EXCEPT,Agent's name,Email address,Agent's brokerage,Specific location of the property,That the agent is licensed,2,1,Law of Agency,,
The type of ownership that represents the full bundle of rights is known as,Free simple,Littoral,Liparian,Bargain & sale,Fee simple absolute,5,2,Deeds,,
"At minimum, every deed or lease contains the right to",Use,Possession,Occupation,Access,Clear title,2,3,Deeds,,
"Karen rents out her house to Mark. Two months into the lease, Karen decides she wants to paint the interior of the house. Can she enter?","Yes, she owns it","No, lease gives possession to Mark","Yes, its to Mark's benefit","No, unless he stops paying rent","Yes, with the police",2,3,Leases,,1
"When a title is transferred by deed, it is known as",Deliverance,Conveyance,Offer and acceptance,Transacted,Freehold,2,3,Deeds,,
Josh rents an apartment from Karen for $900. He then subleases it to Chris for $1000. Chris stops paying rent. Who owes Karen rent?,"Chris, he agreed to pay rent on behalf of Josh","Josh, as long as Chris pays","Josh, he is on the lease and owes Karen",Karen needs to take it up with Chris,Chris must be evicted first,3,3,Leases,,
These type of panels that waterproof a house,Sheathing,Aluminum foil,Drain panels,Absorbents,Styrofoam,1,1,Construction,,
"A house is owned by two individuals, one dies and the other inherits the house. This type of ownership is called",Joint,Jointed tenancy,Joint tenants,Joint in common,Ownership by entirety,3,3,Estates and Interests,,
Depreciation can be characterized as,"A decrease in an asset's value, typically gradual",An unexpected loss in an asset's value,A sudden and large decline in an asset's value,A decline in an asset's market price,None of these,1,1,Finance and Economics,,
Which of the following does NOT characterize depreciation,Wear and tear on a property due to passage of time,May have some tax breaks,Starts off at $0 at purchase,Impacts residential and commercial properties,Is a decline in an asset's value,3,3,Finance and Economics,,1
"In years, what is the depreciation period for a 10 story office building?",27.5,22.5,33.5,39,75,4,2,Finance and Economics,,
"John is doing his taxes and owns a one-family house, what is the maximum depreciation years  he could file?",22.5,35,75,27.5,18,4,2,Finance and Economics,,
An apartment's annual depreciation rate is about,27.50%,3.60%,39%,10%,1%,2,3,Finance and Economics,,
An office building's annual depreciation rate is about,39%,2.50%,75%,10%,3.60%,2,3,Finance and Economics,,
Greg built a new 6 unit residential building. What is the duration of the depreciation period?,39 months,10 years,27.5 years,22 years,39 years,5,2,Finance and Economics,,
Agent Samantha is asked by buyer client what the depreciation period is on a commercial property they wish to purchase. Her should response should be ,39 years,20 years,27.5,5,10,1,2,Finance and Economics,,
"When an equal amount of an asset's price is depreciated, the method used is called",Equal,Default approach,Double,Straight-line,Average,4,2,Finance and Economics,,
"For the past 10 years, Armando has been depreciating his property at $20k a year. The depreciation method he is using is",Straight-line,Flat,Constant depreciation,SLB,Zero vol,1,2,Finance and Economics,,
"A house sold for $570,000. The new owners can depreciate how approximately much per year?","$20,700 ","$57,000 ","$5,700 ","$20,000 ","$570,000 ",1,2,Finance and Economics,,
Greenview Capital buys a 100-unit office building for $10 million. Their accountant can expect to depreciate how much on their annual tax filings?,"$363,300 ","$360,000 ","$25,600 ","$100,000 ","$256,000 ",5,3,Finance and Economics,,1
The following can be depreciated on tax filings EXCEPT,Land,Residential,Commercial,Foreclosed,Flips,1,2,Finance and Economics,,
Land can be depreciated for how many years?,39,27.5,Land cannot be depreciated,33.5,37.5,3,2,Finance and Economics,,
Which are valid maximum tax depreciation periods?,12,27,33.5,75,None of these,5,3,Finance and Economics,1,1
Tax depreciation rules are set by the,DOB,DOS,IRS,DEP,None of these,3,2,Mortgage,,
Which best describes what amortization is,Paying down a mortgage,A new lease,Increase mortgage amount,Interest-only payments,Tax benefits for mortgage note holders,1,2,Mortgage,,1
The balance due after the last payment on an amortized mortgage would be,One month,Remaining interest,Principal amount,Zero,Closing costs,4,2,Mortgage,,
Which of the following is NOT a characteristic of an amortized loan,Large upfront payment,Equal payments,Can have a fixed-rate,Can have a fixed duration,Commonly is fixed-rate,1,2,Mortgage,,
A fixed-rate mortgage means,The interest rate stays the same throughout the payment,Prepayments are not allowed,It is set by the buyer,There is no room to negotiate the rate,Mortgage points are included,1,2,Mortgage,,
The type of mortgage most commonly seen is,Fixed-rate,ARM,Interest-only,Adjustable-rate,Declining-rate,1,2,Mortgage,,
"In a mortgage, a 4.75% interest-rate for the duration of the mortgage is known as",A fixed interest rate,Interest-only rate,Introductory rate,ARM,Index,1,2,Mortgage,,
Seller financing is characterized by,Buyer lending to the seller,Seller lending to the buyer,Bank lending to the seller,Seller lending to the bank,Seller cashes out,2,2,Mortgage,,
Seller financing is characterized by,Seller borrows from the bank and lends to buyer,Buyer pays the seller to pay the bank,Buyer paying principal and interest to seller,Seller sets what kind of loan buyer can get,Buyer cashes out,3,2,Mortgage,,
Another name for seller financing is,In-house mortgage,Purchase money mortgage,Reverse mortgage,Extra-bank mortgage,FDIC Insured,2,2,Mortgage,,
Purchase money mortgage is,An illegal activity according to the IRS,Money in escrow to protect closing,Buyer pays for the house,None of these,Seller financing,5,2,Mortgage,,
"Veronica pays off her mortgage at $500 a month. Her last payment is $27,300. What type of mortgage does she have?",Fixed-rate,Straight line,Balloon,Jumbo,Conforming,3,3,Mortgage,,
"If a mortgage has a large final payment due, which type of mortgage is it?",None of these,Basket,Air,Rebalancing,Adjustable-rate,1,2,Mortgage,,
A mortgage with a balloon payment has,None of these,No payments due for a year,Increases over time,Has no limit,Can go on forever,1,2,Mortgage,1,1
A mortgage with a balloon payment,Ends with a large final payment,Can be reassigned to someone else,Is always seller financed,Requires a higher credit score,Is disallowed by FNMA,1,2,Mortgage,,
The concept that your real estate licensed is honored by another State is known as,Transferability,Assignability,Reciprocity,Reciprocal,Reciprocation,3,1,License Law,,
Georgia honors real estate licenses from New York. This is known as,Southern hospitality,Interstate License Law,Reciprocity,Open Borders Act of 1988,Switchability,3,1,License Law,,
Approximately how many States does New York have reciprocity with,3,12,4,27,48,2,1,License Law,,
The mortgagor is the,Bank,Lending Institution,Borrower,Seller,Buyer,3,3,Mortgage,,
The mortgagee is the,Borrower,Bank,Buyer,Lender,Seller,3,3,Mortgage,,
"Technically, the mortgagor gives the bank a ",Mortgage note,Money,Best effort commitment,Collateral,Cash,1,3,Mortgage,,
Having Equivalent experience means you can become,A salesperson without taking the exam,A broker without being a salesperson,A broker without taking the class,Don't need any points,Are automatically a broker,2,2,License Law,,
The number of points needed with equivalent experience to be a broker is,3500,5000,5250,27800,6500,3,2,License Law,,
The following are true of equivalent experience EXCEPT,5250 points are required,Lawyers are automatically brokers,Administrative work does not count as equivalent work,It provides a means to get a real estate license,It is not applicable in New York,5,2,License Law,,
"Vijay is a salesperson and has 5200 points from rentals. He wishes to be a broker, does he qualify?","No, he needs 5250 points","Yes, he only needs 3500 points","No, he has no equivalent experience","Yes, he will need all 5200 points",None of these,2,3,License Law,,1
Arthur has worked the past three years as a filing clerk at a major real estate brokerage. Does he have equivalent experience?,"Yes, only two years are required","No, he has no exposure to the business",It is entirely up to the brokerage,None of these,"No, administravie work doesn't count",5,3,License Law,,
Angelica has been an attorney for 6 months. Can she be a broker?,"No, 6 months is insufficient","Yes, attornies are automatically brokers",Only if she has enough points,None of these,She needs the law firms permission,2,3,License Law,,
Having Equivalent experience means you can become,A salesperson without taking the exam,None of these,A broker without taking the class,Don't need any points,Are automatically a broker,2,3,License Law,1,1
The mortgagor is the,Bank,Lending Institution,None of these,Seller,Buyer,3,2,Mortgage,,
Oxford is a broker at his own brokerage. Is he exempt from requirements to be a mortgage broker?,"Yes, mortgage brokers have no requirements","Yes, he is automatically a mortgage broker",Yes,"Yes, as long as he renews his broker license next year","Yes, but has to leave real estate",3,3,License Law,,
Alex owns a condo in the Lower East side. Which BEST describes his ownership?,Peer shareholders,Reciprocity,Board member,Tenant in common,Tenant in severalty,4,3,Condos and Coops,,
Ownership of condos in the same building is best described as,Tenants in common,Jointed tenancy,Survivorship,Tenant in severalty,Communal,1,2,Condos and Coops,,
A co-op is considered to be what type of property,Personal,Shared,Shareholder,Tenants in common,Real,1,2,Condos and Coops,,1
Which of the following is considered personal property?,Co-op,Condo,Ten story commercial building,Mall,Public park,1,2,Condos and Coops,,
Which of the following is considered real property?,Co-op,Condo,Bathroom sink,Chattel,Cattle,2,2,Condos and Coops,,
"In a co-op, the real property structure is owned by",The landlord,A corporation,The board,Supervisor,Investment group,2,2,Condos and Coops,,
The building owned by a co-op corporation is,Real property,Personal property,Shared property,Tenants in Entirety,Proxy for co-op owners,1,3,Condos and Coops,,
"Bjork wants to sell his co-op. At the closing, what will the buyer be actually purchasing?",Shares in the co-op corporation,Real property,Membership into the board,Membership into the co-op club,None of these,1,3,Condos and Coops,,
A co-op is overseen by,Super,Shareholders,Board of Directors,Janitor,None of these,3,2,Condos and Coops,,
A co-op is overseen by,Super,Shareholders,None of these,Janitor,Buildings department,3,2,Condos and Coops,,
A board approval of the purchase by a buyer occurs with property that is a,Condos,Retirement homes,Gated communities,Waterfront,Co-ops,5,2,Condos and Coops,,
The Board of Directors of a co-op are elected by the ,Co-op shareholders,Co-op tenants,Co-op employees,Chairman,Independent auditor,1,2,Condos and Coops,1,1
A deed is signed by the,Seller,Bank,Grantor,Buyer,Attorney,3,2,Deeds,,
A deed is signed by the,Seller,Title company,None of these,Buyer,Attorney,3,2,Deeds,,
"In a sale, the grantee must sign the deed","True, the grantee is required to do so","False, only the grantor is required","False, no one needs to sign it","False, the seller and not the grantor signs it","True, but only if the grantor is the seller",2,3,Deeds,,
Martha buys a house from Tamara for $2.1M. Whose signature must be on the deed?,Martha,Tamara,Both,Neither,Seller's attorney,2,2,Deeds,,
"Although a co-op board runs the co-op, the board may higher one of the following for daily mainteance ",Property manager,Accounting Firm,Auditor,Private investigator,Real estate brokerage,1,2,Condos and Coops,,
The following are examples of encumberances EXCEPT,Mechanic's lien,Easement,Deed restriction,Encroachment,Tax lien,4,3,Easement and Liens,,1
An encumbrance is defined as,Nonpossessory interests in property,Blocked entrance,Property that cannot be sold,Lien,Deed restriction,1,3,Easement and Liens,,
Deed restrictions and liens are examples of,Encroachment,Encumberance,Cloudy title,Defective title,Causes of cancelling closings,2,3,Easement and Liens,,
The following types of liens are examples of encumberances EXCEPT,Property tax lien,Mechanic's lien,Income tax lien,Credit card lien,Mortgage lien,4,3,Easement and Liens,,
In what year did the Supreme Court decide on Brown v. Board of Education?,1988,1954,1888,1889,1908,2,3,Easement and Liens,,1
"In 1954, the Supreme Court decided on which relevant case?",Board of Education v. Brown,Brown v. Board of Education,Jackson v. Tillerson,Brown v. Mayer,Mayer v. Brown,2,2,Fair Housing,,
What did the Supreme Court decision in the Brown v Board of Education accomplish?,Ended segregation,Abolished slavery,Established equal housing laws,Expanded funding for schools,Allowed separate but equal schools for races,1,2,Fair Housing,,
Plessy v Ferguson was overturned by,Brown v. Mayer,Civil Rights Act of 1968,Brown v. Board of Education,Brown v. Mayer,Civil Rights Act of 1988,3,2,Fair Housing,,
Plessy v Ferguson was overturned in,1988,1905,1954,1888,1998,3,2,Fair Housing,1,1
Brown v Board overturned which prior case?,Board of Education v. Brown,Civil Rights Act of 1968,Plesy v. Ferguson,1866 Civil Rights Act,Plessy v Ferguson,5,3,Fair Housing,,
Brown v Board overturned which prior case?,Board of Education v. Brown,Civil Rights Act of 1968,Ferguson v. Plessy,Brown v. Mayer,None of these,5,3,Fair Housing,,
A pro forma is,A financial forecast,A building with solid architecture,A tax abatement,An illegal encroachment,The historic value of a property,1,2,Finance and Economics,,
A financial projection of the income of a property is referred to as a,Comp,Valuation,Assessment,Appraisal,Pro forma,5,2,Finance and Economics,,
Mark is considering investing in a 5-unit apartment building. The asking price is $2.2M. What should Mark prepare to evaluate the property's future income?,Pro forma,Balance sheet,Trial balance,CMA,Audit report,1,2,Finance and Economics,,
